dataset,capacity_percent,cache_size_objects,full_total_selected_admissions,precision_only_total_selected_admissions,ratio_full_over_precision,source_full_summary_path,source_precision_summary_path
wikipedia_september_2007,0.8,12221,26571,31637,0.8398710370768404,results/guardrails_signal_v2_cap020/wikipedia_september_2007/001_summary_ilnse_A2_guardv2_full_cap020_NB_12221.json,results/guardrails_signal_v2_cap020/wikipedia_september_2007/001_summary_ilnse_A2_guardv2_precision_only_cap020_NB_12221.json
wikipedia_september_2007,1.0,15277,33765,39550,0.8537294563843236,results/guardrails_signal_v2_cap020/wikipedia_september_2007/001_summary_ilnse_A2_guardv2_full_cap020_NB_15277.json,results/guardrails_signal_v2_cap020/wikipedia_september_2007/001_summary_ilnse_A2_guardv2_precision_only_cap020_NB_15277.json
wikipedia_september_2007,2.0,30554,69075,69076,0.9999855231918466,results/guardrails_signal_v2_cap020/wikipedia_september_2007/001_summary_ilnse_A2_guardv2_full_cap020_NB_30554.json,results/guardrails_signal_v2_cap020/wikipedia_september_2007/001_summary_ilnse_A2_guardv2_precision_only_cap020_NB_30554.json
wikipedia_september_2007,3.0,45831,82046,82223,0.9978473176605086,results/guardrails_signal_v2_cap020/wikipedia_september_2007/001_summary_ilnse_A2_guardv2_full_cap020_NB_45831.json,results/guardrails_signal_v2_cap020/wikipedia_september_2007/001_summary_ilnse_A2_guardv2_precision_only_cap020_NB_45831.json
wikipedia_september_2007,4.0,61109,93518,94584,0.9887295948574811,results/guardrails_signal_v2_cap020/wikipedia_september_2007/001_summary_ilnse_A2_guardv2_full_cap020_NB_61109.json,results/guardrails_signal_v2_cap020/wikipedia_september_2007/001_summary_ilnse_A2_guardv2_precision_only_cap020_NB_61109.json
wikipedia_september_2007,5.0,76386,106595,108844,0.9793374003160487,results/guardrails_signal_v2_cap020/wikipedia_september_2007/001_summary_ilnse_A2_guardv2_full_cap020_NB_76386.json,results/guardrails_signal_v2_cap020/wikipedia_september_2007/001_summary_ilnse_A2_guardv2_precision_only_cap020_NB_76386.json
wiki2018,0.8,16123,46990,52036,0.9030286724575294,results/guardrails_signal_v2_cap020/wiki2018/001_summary_ilnse_A2_guardv2_full_cap020_NB_16123.json,results/guardrails_signal_v2_cap020/wiki2018/001_summary_ilnse_A2_guardv2_precision_only_cap020_NB_16123.json
wiki2018,1.0,20154,56393,62387,0.9039222915030375,results/guardrails_signal_v2_cap020/wiki2018/001_summary_ilnse_A2_guardv2_full_cap020_NB_20154.json,results/guardrails_signal_v2_cap020/wiki2018/001_summary_ilnse_A2_guardv2_precision_only_cap020_NB_20154.json
wiki2018,2.0,40308,105345,105345,1.0,results/guardrails_signal_v2_cap020/wiki2018/001_summary_ilnse_A2_guardv2_full_cap020_NB_40308.json,results/guardrails_signal_v2_cap020/wiki2018/001_summary_ilnse_A2_guardv2_precision_only_cap020_NB_40308.json
wiki2018,3.0,60463,123253,121296,1.0161340852130325,results/guardrails_signal_v2_cap020/wiki2018/001_summary_ilnse_A2_guardv2_full_cap020_NB_60463.json,results/guardrails_signal_v2_cap020/wiki2018/001_summary_ilnse_A2_guardv2_precision_only_cap020_NB_60463.json
wiki2018,4.0,80617,136783,138414,0.988216509890618,results/guardrails_signal_v2_cap020/wiki2018/001_summary_ilnse_A2_guardv2_full_cap020_NB_80617.json,results/guardrails_signal_v2_cap020/wiki2018/001_summary_ilnse_A2_guardv2_precision_only_cap020_NB_80617.json
wiki2018,5.0,100772,152591,150242,1.0156347758948896,results/guardrails_signal_v2_cap020/wiki2018/001_summary_ilnse_A2_guardv2_full_cap020_NB_100772.json,results/guardrails_signal_v2_cap020/wiki2018/001_summary_ilnse_A2_guardv2_precision_only_cap020_NB_100772.json
