dataset,capacity_percent,cache_size_objects,variant,hit_ratio,delta_hr_vs_full_cap020,total_selected_admissions,delta_selected_vs_full_cap020,selected_match_ratio_vs_full_cap020,admissions_per_1000_requests,hit_yield_per_admission,pollution_ratio,admission_precision,budget_match_mode,budget_match_multiplier,budget_replay_enabled,budget_replay_permuted,budget_replay_exact_slot_match_rate,budget_replay_clamp_rate,offline_diagnostic_control
wiki2018,0.8,16123,full_cap020,0.46216311111111114,0.0,46990.0,0.0,1.0,5.221111111111111,1.3567138151521023,0.37286055673964996,0.1910051884862968,off,1.0,,,,,
wiki2018,0.8,16123,precision_only_budget_matched_permuted_quality_cap020,0.4622077777777778,4.466666666663732e-05,47939.0,949.0,1.0201957863375186,5.326555555555555,1.3415607449009754,0.3719226384020945,0.19103922976225665,off,1.0,,,,,
wiki2018,0.8,16123,precision_only_budget_matched_random_cap020,0.46179522222222225,-0.0003678888888888898,48310.0,1320.0,1.0280910832091934,5.3677777777777775,1.3269095425377768,0.37404264127509834,0.18784930656178844,random_slot_throttle,0.9030286724575294,False,False,,,False
wiki2018,0.8,16123,precision_only_budget_matched_uniform_cap020,0.4615787777777778,-0.0005843333333333534,47897.0,907.0,1.0193019791444988,5.321888888888889,1.3377343766477547,0.3752346402885285,0.18889334148862127,uniform,0.9030286724575294,False,False,,,False
wiki2018,0.8,16123,precision_only_budget_replay_cap020,0.46216311111111114,0.0,46990.0,0.0,1.0,5.221111111111111,1.3567138151521023,0.37286055673964996,0.1910051884862968,slot_replay,0.9030286724575294,True,False,1.0,0.0,True
wiki2018,0.8,16123,precision_only_budget_replay_permuted_cap020,0.4517028888888889,-0.01046022222222226,46990.0,0.0,1.0,5.221111111111111,1.43496968511637,0.3653867049134016,0.1985353239020362,slot_replay_permuted,0.9030286724575294,True,True,1.0,0.0,True
wiki2018,0.8,16123,precision_only_cap020,0.46225444444444447,9.133333333333216e-05,52036.0,5046.0,1.107384549904235,5.781777777777778,1.270792473347962,0.378857020797328,0.18432141678156008,off,1.0,,,,,
wiki2018,1.0,20154,full_cap020,0.47727033333333335,0.0,56393.0,0.0,1.0,6.265888888888889,1.147202383088684,0.4172738039694218,0.16089437605426551,off,1.0,,,,,
wiki2018,1.0,20154,precision_only_budget_matched_permuted_quality_cap020,0.4773538888888889,8.355555555555894e-05,57709.0,1316.0,1.0233362296738957,6.412111111111111,1.1302557813594953,0.4158899789768746,0.15989838822704974,off,1.0,,,,,
wiki2018,1.0,20154,precision_only_budget_matched_random_cap020,0.4769288888888889,-0.00034144444444444977,57746.0,1353.0,1.0239923394747574,6.416222222222222,1.1258268971010978,0.4151629550098708,0.16030547570394485,random_slot_throttle,0.9039222915030375,False,False,,,False
wiki2018,1.0,20154,precision_only_budget_matched_uniform_cap020,0.4768173333333333,-0.0004530000000000367,58351.0,1958.0,1.0347206213537141,6.483444444444444,1.1250194828810418,0.41376443897961657,0.1605043035519457,uniform,0.9039222915030375,False,False,,,False
wiki2018,1.0,20154,precision_only_budget_replay_cap020,0.47727033333333335,0.0,56393.0,0.0,1.0,6.265888888888889,1.147202383088684,0.4172738039694218,0.16089437605426551,slot_replay,0.9039222915030375,True,False,1.0,0.0,True
wiki2018,1.0,20154,precision_only_budget_replay_permuted_cap020,0.46593755555555555,-0.011332777777777803,56393.0,0.0,1.0,6.265888888888889,1.1782944338227337,0.42875437394033405,0.1640272717434436,slot_replay_permuted,0.9039222915030375,True,True,1.0,0.0,True
