dataset,capacity_percent,cache_size_objects,variant,hit_ratio,total_selected_admissions,admissions_per_1000_requests,hit_yield_per_admission,pollution_ratio,admission_precision,precision_action_rate,precision_multiplier_action_rate,precision_continuous_action_rate,precision_masked_by_integer_rounding_rate,precision_mean_budget_delta,precision_median_budget_delta,mean_precision_multiplier,median_precision_multiplier,corr_precision_eff_to_next_slot_hit_yield,corr_precision_eff_to_next_slot_admission_precision,corr_precision_eff_to_admission_window_pollution_proxy
wiki2018,0.8,16123,cap_only_cap020,0.45943033333333333,61406.0,6.822888888888889,1.1546804028701205,0.3783819366730301,0.17477453755513134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6746806824202553,0.8988601084843396,-0.8896426698992587
wiki2018,0.8,16123,full_cap020,0.46216311111111114,46990.0,5.221111111111111,1.3567138151521023,0.37286055673964996,0.1910051884862968,0.9,0.9888888888888889,0.9888888888888889,0.0,-101.72222222222223,-193.0,0.7921009449812996,0.641679374781875,0.7450022204537623,0.8403930476284546,-0.842853188057033
wiki2018,0.8,16123,precision_only_cap020,0.46225444444444447,52036.0,5.781777777777778,1.270792473347962,0.378857020797328,0.18432141678156008,0.9,0.9888888888888889,0.9888888888888889,0.0,-100.75555555555556,-193.0,0.8105635013074667,0.6874534715677691,0.7447775201007857,0.842449635616236,-0.8470514534711764
wiki2018,1.0,20154,cap_only_cap020,0.47395122222222225,76391.0,8.48788888888889,0.9529189210641197,0.440358234228037,0.1457277790271586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.704965856398977,0.8971196818558506,-0.885079819866225
wiki2018,1.0,20154,full_cap020,0.47727033333333335,56393.0,6.265888888888889,1.147202383088684,0.4172738039694218,0.16089437605426551,0.8888888888888888,0.9888888888888889,0.9888888888888889,0.011111111111111112,-151.44444444444446,-241.0,0.7045802578364352,0.5270032580080242,0.7699135761613601,0.8070371435210895,-0.852969679189926
wiki2018,1.0,20154,precision_only_cap020,0.4774151111111111,62387.0,6.9318888888888885,1.0756719101851702,0.41921687430135923,0.15515090641048487,0.8888888888888888,0.9888888888888889,0.9888888888888889,0.0,-151.01111111111112,-241.0,0.719924044420149,0.5804523436609834,0.7700921537246846,0.8052325920119752,-0.8497155065046159
wiki2018,2.0,40308,cap_only_cap020,0.5253324444444445,104888.0,11.654222222222222,0.6363382988947621,0.5993176357520423,0.08991830850552619,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8467831188070043,0.7083588715447269,-0.8369894669859574
wiki2018,2.0,40308,full_cap020,0.5267346666666667,105345.0,11.705,0.6332685848794818,0.6009836661659027,0.08917106031174946,0.14444444444444443,0.9888888888888889,0.9888888888888889,0.0,-15.077777777777778,0.0,0.5815496610125696,0.5,0.8810452260646826,0.5902647538914464,-0.7747078274137
wiki2018,2.0,40308,precision_only_cap020,0.5267346666666667,105345.0,11.705,0.6332685848794818,0.6009836661659027,0.08917106031174946,0.14444444444444443,0.9888888888888889,0.9888888888888889,0.0,-15.077777777777778,0.0,0.5815496610125696,0.5,0.8810452260646826,0.5902647538914464,-0.7747078274137
wiki2018,3.0,60463,cap_only_cap020,0.561969,122180.0,13.575555555555555,0.5445813700616166,0.649741342383604,0.07606510922929915,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8518618542224117,0.4644026930826492,-0.7336152928220213
wiki2018,3.0,60463,full_cap020,0.5624848888888889,123253.0,13.694777777777778,0.5423984845144486,0.6490458809984567,0.07538234165380626,0.1111111111111111,0.9888888888888889,0.9888888888888889,0.0,-83.13333333333334,0.0,0.5586106459794787,0.5,0.8452833426946446,0.378325266961376,-0.6371474152398853
wiki2018,3.0,60463,precision_only_cap020,0.562464,121296.0,13.477333333333334,0.5489494822092406,0.6468650424853957,0.07646541423260754,0.1,0.9888888888888889,0.9888888888888889,0.0,-63.733333333333334,0.0,0.5586158794543141,0.5,0.8432447523589832,0.3789565330298678,-0.6389431624029929
