Dataset,Method,Avg HR,Admissions / 1000 requests,Pollution proxy,Hit-yield / admission,Admission precision,Metric source
Wikipedia-2007 web,IL-guard,0.675241,8.574375,0.619,1.39525029421377,0.099,event-log
Wikipedia-2007 web,IL-no-guard,0.669959,33.629062499999996,0.674,0.8020197612801523,0.068,event-log
Wikipedia-2007 web,Delayed-GBDT,0.658630,11.044895833333333,0.690,0.9170519818592547,0.072,event-log
Wikipedia-2007 web,Windowed-2Hit-LRU,0.662582,16.682375,0.714,0.2858476713609162,n/a,event-log
Wikipedia-2007 web,Delayed-TinyLFU,0.602206,397.7937083333333,0.398,1.5808726378982216,n/a,replay-summary-proxy
Wiki-CDN-2018,IL-guard,0.536710,11.506574074074074,0.572,0.7659713629411034,0.107,event-log
Wiki-CDN-2018,IL-no-guard,0.527306,46.15616666666667,0.623,0.5201237671646499,0.079,event-log
Wiki-CDN-2018,Delayed-GBDT,0.517902,19.569055555555554,0.658,0.4835159621892838,0.073,event-log
Wiki-CDN-2018,Windowed-2Hit-LRU,0.519497,27.00688888888889,0.670,0.33011425264271427,n/a,event-log
Wiki-CDN-2018,Delayed-TinyLFU,0.447740,552.259537037037,0.552,0.8414593561146572,n/a,replay-summary-proxy
