Dataset,Method,Avg HR,Best HR,Worst HR,Δ Avg HR vs IL-guard,Rank by Avg HR
Wikipedia-2007 web,IL-guard,0.675241,0.713059,0.633067,0.0,1
Wikipedia-2007 web,IL-no-guard,0.669959,0.703309,0.631316,-0.0052813749999998105,2
Wikipedia-2007 web,Windowed-2Hit-LRU,0.662582,0.689329,0.625542,-0.012658749999999941,3
Wikipedia-2007 web,Delayed-GBDT,0.658630,0.676069,0.629096,-0.016610499999999973,4
Wikipedia-2007 web,Delayed-TinyLFU,0.602206,0.666884,0.490100,-0.0730343333333332,5
Wiki-CDN-2018,IL-guard,0.536710,0.605007,0.462163,0.0,1
Wiki-CDN-2018,IL-no-guard,0.527306,0.588422,0.459430,-0.009403296296296326,2
Wiki-CDN-2018,Windowed-2Hit-LRU,0.519497,0.576509,0.445253,-0.01721235185185188,3
Wiki-CDN-2018,Delayed-GBDT,0.517902,0.564434,0.451931,-0.018807611111111067,4
Wiki-CDN-2018,Delayed-TinyLFU,0.447740,0.533556,0.348638,-0.08896905555555562,5
