Dataset,Cache %,Quality action rate,Suppression rate,Admitted/suppressed next-slot request ratio,Quality masked by cap,Cap binding,Mean quality multiplier
Wiki-CDN-2018,0.8,0.411,0.433,0.92,0.0,0.033,0.884
Wiki-CDN-2018,1.0,0.411,0.433,0.962,0.0,0.044,0.883
Wiki-CDN-2018,2.0,0.089,0.456,,0.367,0.844,0.891
Wiki-CDN-2018,3.0,0.022,0.378,1.335,0.356,0.878,0.896
Wiki-CDN-2018,4.0,0.022,0.4,1.442,0.378,0.878,0.889
Wiki-CDN-2018,5.0,0.022,0.478,1.451,0.456,0.867,0.863
Wikipedia-2007 web,0.8,0.725,0.762,1.016,0.0,0.0,0.793
Wikipedia-2007 web,1.0,0.662,0.738,1.278,0.0,0.0,0.797
Wikipedia-2007 web,2.0,0.037,0.725,,0.688,0.825,0.8
Wikipedia-2007 web,3.0,0.013,0.675,1.975,0.662,0.863,0.823
Wikipedia-2007 web,4.0,0.025,0.725,1.805,0.7,0.85,0.798
Wikipedia-2007 web,5.0,0.037,0.725,2.934,0.688,0.838,0.794
